#,Monnaie,Cours,1 h,24 h,7 j,30 j,Volume sur 24 h,Offre en circulation,Offre totale,Capitalisation du marché
45,"Algorand
ALGO","$0,115257",-0.2%,2.8%,-16.3%,-30.1%,$41 261 692,7 249 366 185,"7,63 milliard",$835 991 047
46,"Rocket Pool ETH
RETH","$1 878,93",0.0%,-0.2%,-3.6%,-2.8%,$2 875 562,441 172,441 millier,$828 998 288
47,"Rocket Pool
RPL","$41,39",0.1%,1.2%,-12.3%,-17.1%,$5 153 664,19 474 470,"19,5 million",$805 833 354
48,"MultiversX
EGLD","$31,01",-0.0%,2.9%,-15.3%,-19.7%,$14 335 994,25 551 072,"25,6 million",$793 824 530
49,"Aave
AAVE","$54,65",0.2%,3.0%,-9.4%,-12.6%,$43 242 616,14 426 048,16 million,$788 055 993
50,"EOS
EOS","$0,684229",-0.0%,0.2%,-19.3%,-21.9%,$98 250 377,1 108 998 347,∞,$759 384 413
51,"Stacks
STX","$0,548593",-0.2%,4.2%,-0.5%,-13.0%,$32 992 067,1 384 048 265,"1,82 milliard",$758 428 703
52,"Optimism
OP","$1,15",0.0%,1.0%,-18.6%,-30.1%,$104 035 091,644 594 782,"4,29 milliard",$742 424 108
53,"Fantom
FTM","$0,262961",0.6%,6.9%,-10.4%,-29.1%,$131 849 889,2 793 649 313,"3,18 milliard",$735 082 328
54,"USDD
USDD","$0,998252",-0.0%,-0.1%,-0.1%,-0.1%,$13 644 165,733 660 399,∞,$732 476 718
55,"The Sandbox
SAND","$0,394178",-0.1%,0.9%,-24.0%,-21.7%,$84 012 423,1 853 581 926,3 milliard,$730 983 310
56,"Render
RNDR","$1,98",-0.2%,1.0%,-17.4%,8.0%,$58 968 328,366 386 312,531 million,$724 750 206
57,"Tezos
XTZ","$0,732399",-0.4%,2.1%,-14.2%,-17.4%,$15 663 747,933 311 128,∞,$683 836 313
58,"WhiteBIT Token
WBT","$4,69",0.0%,0.6%,-1.6%,1.2%,$4 515 886,144 118 517,372 million,$675 779 408
59,"Bitget Token
BGB","$0,473120",-0.1%,-1.0%,-0.1%,0.5%,$16 734 475,1 400 001 000,2 milliard,$662 793 981
60,"Theta Network
THETA","$0,657502",-0.3%,1.0%,-16.2%,-27.4%,$8 723 503,1 000 000 000,1 milliard,$658 083 844
61,"Decentraland
MANA","$0,348746",0.1%,1.0%,-23.8%,-23.7%,$45 316 568,1 824 339 991,"2,19 milliard",$636 522 626
62,"ImmutableX
IMX","$0,631588",-0.4%,3.2%,-13.9%,-16.5%,$16 554 278,998 882 827,2 milliard,$631 424 405
63,"BitDAO
BIT","$0,429674",-0.0%,1.5%,-11.4%,-11.4%,$2 801 121,1 453 909 315,"9,61 milliard",$624 760 320
64,"Radix
XRD","$0,061103666719",-0.2%,-0.2%,-7.2%,-15.3%,$2 245 103,10 190 256 525,"12,6 milliard",$622 838 090
65,"KuCoin
KCS","$6,13",0.0%,2.9%,-13.8%,-20.0%,$1 443 524,96 833 502,144 million,$593 411 115
66,"Axie Infinity
AXS","$5,06",0.1%,1.9%,-23.7%,-25.1%,$46 746 814,115 661 359,270 million,$586 404 681
67,"Synthetix Network
SNX","$1,83",0.4%,-2.8%,-19.2%,-9.7%,$27 174 236,318 877 448,320 million,$584 393 652
68,"Maker
MKR","$639,94",-0.0%,3.5%,-0.4%,1.8%,$15 660 791,901 311,978 millier,$577 139 315
69,"Gate
GT","$4,10",-0.0%,1.7%,2.1%,-16.7%,$468 683,139 018 905,300 million,$569 861 857
70,"Gemini Dollar
GUSD","$1,00",0.1%,0.1%,0.1%,0.1%,$3 212 019,568 678 602,569 million,$569 520 808
71,"Terra
LUNC","$0,000097205391",-1.0%,11.0%,10.1%,7.5%,$63 418 724,5 841 607 920 478,"6,85 billion",$567 697 276
72,"NEO
NEO","$7,92",-0.1%,2.3%,-15.8%,-12.6%,$22 529 753,70 530 000,100 million,$558 948 332
73,"Curve DAO
CRV","$0,654623",0.7%,-0.5%,-15.9%,-18.7%,$51 286 809,852 188 484,"1,96 milliard",$558 199 949
74,"GALA
GALA","$0,022301912412",0.1%,2.3%,-17.1%,-25.2%,$56 819 808,24 054 153 829,"24,1 milliard",$537 365 767
75,"Flow
FLOW","$0,501607",-0.0%,-0.0%,-24.7%,-33.4%,$21 950 830,1 036 200 000,"1,44 milliard",$519 902 090
76,"BitTorrent
BTT","$0,000000536252",-0.5%,-0.1%,-0.7%,-10.6%,$13 340 394,951 421 714 286 000,990 billion,$510 505 495
77,"PAX Gold
PAXG","$1 933,85",-0.1%,0.4%,0.2%,-4.2%,$8 074 731,257 858,258 millier,$498 906 247
78,"Bitcoin SV
BSV","$25,63",-0.0%,1.1%,-16.0%,-28.6%,$14 097 480,19 266 077,21 million,$493 717 445
79,"Tether Gold
XAUT","$1 962,20",-0.1%,-0.2%,0.1%,-2.5%,$7 180 960,246 524,247 millier,$483 808 337
80,"Klaytn
KLAY","$0,154529",0.7%,1.0%,-12.0%,-16.4%,$13 744 982,3 100 989 406,∞,$479 170 183
81,"Injective
INJ","$5,89",0.3%,0.2%,-17.8%,-3.0%,$33 433 649,80 005 555,100 million,$471 031 718
82,"Kava
KAVA","$0,804692",0.4%,-0.3%,-28.3%,-17.7%,$15 645 928,568 769 960,569 million,$457 962 252
83,"XDC Network
XDC","$0,032925518671",0.2%,-2.4%,1.1%,-2.1%,$3 035 095,13 842 557 933,"37,8 milliard",$455 884 251
84,"Tokenize Xchange
TKX","$5,68",-0.1%,0.8%,-7.8%,-10.9%,$8 319 418,79 996 000,100 million,$454 619 403
85,"Casper Network
CSPR","$0,039624281310",-0.2%,-5.3%,-6.7%,-21.1%,$4 022 756,11 098 738 889,"11,8 milliard",$440 079 941
86,"IOTA
MIOTA","$0,158193",0.1%,0.0%,-12.6%,-10.9%,$8 537 784,2 779 530 283,"2,78 milliard",$439 809 651
87,"cETH
CETH","$35,13",-0.2%,0.0%,-3.7%,-3.1%,"$47,98",12 429 166,"12,4 million",$436 606 627
